Register,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,testFrameworks,Generate,Compile,Build
3,true,"""monolith""","""jwt""","""no""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""mysql""","""maven""","""elasticsearch""",false,true,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
9,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
13,true,"""gateway""","""jwt""","""hazelcast""","""hazelcast""","""no""","""sql""","""postgresql""","""postgresql""","""maven""","""no""",false,false,false,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
14,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
16,true,"""monolith""","""oauth2""","""no""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""no""",false,false,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
17,true,"""monolith""","""oauth2""","""no""","""no""","""spring-websocket""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
20,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
21,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""no""","""sql""","""DiskBased""","""mariadb""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
25,true,"""gateway""","""jwt""","""hazelcast""","""hazelcast""","""no""","""sql""","""InMemory""","""mariadb""","""maven""","""no""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
27,true,"""monolith""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,false,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
31,true,"""gateway""","""jwt""","""no""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
34,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
35,true,"""gateway""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
41,true,"""monolith""","""session""","""hazelcast""","""hazelcast""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""no""",true,false,true,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
42,true,"""monolith""","""jwt""","""ehcache""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
45,true,"""monolith""","""jwt""","""no""","""hazelcast""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
46,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",true,true,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
49,true,"""monolith""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",true,false,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
50,true,"""monolith""","""jwt""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""mariadb""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
52,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",true,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
