Config,Image size (MB),War size (MB),origin config,Origin Image size (MB),Origin War size (MB),ratio image,ratio war
 config0-10,"644,5","62,5",config0,142,58,"4,5387323944","1,0775862069"
 config0-11,"209,5","62,5",config0,142,58,"1,4753521127","1,0775862069"
 config0-12,"146,5","62,5",config0,142,58,"1,0316901408","1,0775862069"
 config0-20,"804,5","62,5",config0,142,58,"5,6654929577","1,0775862069"
 config0-22,"498,5","62,5",config0,142,58,"3,5105633803","1,0775862069"
 config0-28,"311,5","62,5",config0,142,58,"2,1936619718","1,0775862069"
 config0-35,"437,5","62,5",config0,142,58,"3,0809859155","1,0775862069"
 config0-37,"437,5","62,5",config0,142,58,"3,0809859155","1,0775862069"
 config0-41,"172,5","62,5",config0,142,58,"1,2147887324","1,0775862069"
 config0-58,"605,5","62,5",config0,142,58,"4,264084507","1,0775862069"
 config0-71,"209,5","62,5",config0,142,58,"1,4753521127","1,0775862069"
 config0-72,"146,5","62,5",config0,142,58,"1,0316901408","1,0775862069"
 config0-78,"166,5","62,5",config0,142,58,"1,1725352113","1,0775862069"
 config0-86,"210,5","62,5",config0,142,58,"1,4823943662","1,0775862069"
 config0-89,"436,5","62,5",config0,142,58,"3,073943662","1,0775862069"
 config0-93,"272,5","62,5",config0,142,58,"1,9190140845","1,0775862069"
 config0-98,"146,5","62,5",config0,142,58,"1,0316901408","1,0775862069"
 config0-99,"643,5","62,5",config0,142,58,"4,5316901408","1,0775862069"
 config-14,"437,5","62,5",config,143,59,"3,0594405594","1,0593220339"
 config-16,"775,5","63,5",config,143,59,"5,4230769231","1,0762711864"
 config-1,"645,5","64,5",config,143,59,"4,513986014","1,093220339"
 config2-15,"191,5","86,5",config2,167,82,"1,1467065868","1,0548780488"
 config2-19,"171,5","86,5",config2,167,82,"1,0269461078","1,0548780488"
 config2-36,"171,5","86,5",config2,167,82,"1,0269461078","1,0548780488"
 config2-42,"199,5","87,5",config2,167,82,"1,1946107784","1,0670731707"
 config2-47,"829,5","86,5",config2,167,82,"4,9670658683","1,0548780488"
 config2-62,"336,5","86,5",config2,167,82,"2,0149700599","1,0548780488"
 config2-68,"192,5","87,5",config2,167,82,"1,1526946108","1,0670731707"
 config2-75,"524,5","87,5",config2,167,82,"3,1407185629","1,0670731707"
 config2-91,"799,5","86,5",config2,167,82,"4,7874251497","1,0548780488"
 config2-92,"524,5","87,5",config2,167,82,"3,1407185629","1,0670731707"
 config3-18,"288,5","77,5",config3,158,74,"1,8259493671","1,0472972973"
 config3-21,"453,5","77,5",config3,158,74,"2,8702531646","1,0472972973"
 config3-23,"392,5","78,5",config3,158,74,"2,4841772152","1,0608108108"
 config3-24,"288,5","78,5",config3,158,74,"1,8259493671","1,0608108108"
 config3-25,"621,5","78,5",config3,158,74,"3,9335443038","1,0608108108"
 config3-30,"182,5","78,5",config3,158,74,"1,1550632911","1,0608108108"
 config3-31,"515,5","78,5",config3,158,74,"3,2626582278","1,0608108108"
 config3-32,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config3-3,"162,5","77,5",config3,158,74,"1,0284810127","1,0472972973"
 config3-44,"821,5","78,5",config3,158,74,"5,1993670886","1,0608108108"
 config3-49,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config3-54,"806,5","78,5",config3,158,74,"5,1044303797","1,0608108108"
 config3-55,"821,5","78,5",config3,158,74,"5,1993670886","1,0608108108"
 config3-56,"957,5","77,5",config3,158,74,"6,0601265823","1,0472972973"
 config3-57,"514,5","78,5",config3,158,74,"3,2563291139","1,0608108108"
 config3-61,"226,5","78,5",config3,158,74,"1,4335443038","1,0608108108"
 config3-64,"182,5","78,5",config3,158,74,"1,1550632911","1,0608108108"
 config3-73,"820,5","77,5",config3,158,74,"5,1930379747","1,0472972973"
 config3-77,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config3-79,"188,5","78,5",config3,158,74,"1,1930379747","1,0608108108"
 config3-83,"515,5","78,5",config3,158,74,"3,2626582278","1,0608108108"
 config3-84,"288,5","77,5",config3,158,74,"1,8259493671","1,0472972973"
 config3-88,"288,5","77,5",config3,158,74,"1,8259493671","1,0472972973"
 config-38,"644,5","62,5",config,143,59,"4,506993007","1,0593220339"
 config3-8,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config3-90,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config3-95,"821,5","78,5",config3,158,74,"5,1993670886","1,0608108108"
 config3-9,"162,5","78,5",config3,158,74,"1,0284810127","1,0608108108"
 config4-100,"525,5","88,5",config4,169,84,"3,1094674556","1,0535714286"
 config4-26,"633,5","89,5",config4,169,84,"3,7485207101","1,0654761905"
 config4-27,"237,5","88,5",config4,169,84,"1,4053254438","1,0535714286"
 config4-29,"526,5","88,5",config4,169,84,"3,1153846154","1,0535714286"
 config4-33,"525,5","88,5",config4,169,84,"3,1094674556","1,0535714286"
 config4-39,"193,5","88,5",config4,169,84,"1,1449704142","1,0535714286"
 config4-40,"174,5","89,5",config4,169,84,"1,0325443787","1,0654761905"
 config4-43,"199,5","88,5",config4,169,84,"1,1804733728","1,0535714286"
 config4-51,"526,5","89,5",config4,169,84,"3,1153846154","1,0654761905"
 config4-53,"802,5","89,5",config4,169,84,"4,7485207101","1,0654761905"
 config4-67,"462,5","88,5",config4,169,84,"2,7366863905","1,0535714286"
 config4-69,"339,5","89,5",config4,169,84,"2,0088757396","1,0654761905"
 config4-6,"299,5","88,5",config4,169,84,"1,7721893491","1,0535714286"
 config4-70,"633,5","89,5",config4,169,84,"3,7485207101","1,0654761905"
 config4-7,"818,5","89,5",config4,169,84,"4,8431952663","1,0654761905"
 config4-80,"173,5","88,5",config4,169,84,"1,0266272189","1,0535714286"
 config4-85,"404,5","89,5",config4,169,84,"2,3934911243","1,0654761905"
 config4-87,"237,5","88,5",config4,169,84,"1,4053254438","1,0535714286"
 config4-96,"173,5","88,5",config4,169,84,"1,0266272189","1,0535714286"
 config-4,"172,5","62,5",config,143,59,"1,2062937063","1,0593220339"
 config-50,"376,5","63,5",config,143,59,"2,6328671329","1,0762711864"
 config5-48,"289,5","78,5",config5,159,75,"1,820754717","1,0466666667"
 config5-65,"515,5","79,5",config5,159,75,"3,2421383648","1,06"
 config5-74,"622,5","78,5",config5,159,75,"3,9150943396","1,0466666667"
 config5-81,"453,5","78,5",config5,159,75,"2,8522012579","1,0466666667"
 config5-94,"182,5","78,5",config5,159,75,"1,1477987421","1,0466666667"
 config5-97,"821,5","78,5",config5,159,75,"5,1666666667","1,0466666667"
 config-59,"311,5","62,5",config,143,59,"2,1783216783","1,0593220339"
 config-60,"377,5","63,5",config,143,59,"2,6398601399","1,0762711864"
 config-63,"272,5","62,5",config,143,59,"1,9055944056","1,0593220339"
 config-66,"708,5","62,5",config,143,59,"4,9545454545","1,0593220339"
 config-76,"499,5","63,5",config,143,59,"3,493006993","1,0762711864"
 config-82,"436,5","63,5",config,143,59,"3,0524475524","1,0762711864"
